 Node HC:       Surface HC:
  0.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
 Node density:       Surface density:
  0.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
